ID_Trem,Ciclo,Degradacao_Atual,Velocidade_Desgaste,Vibracao_Posicao,RUL_Alvo,Grupo
1,1479,6.0,6.0,0.5163977794939888,1120,Validação
1,1480,6.0,6.0,0.5163977794939888,1119,Validação
1,1481,6.0,6.0,0.527046276694396,1118,Validação
1,1482,6.0,6.0,0.527046276694396,1117,Validação
1,1483,6.0,6.0,0.527046276694396,1116,Validação
1,1484,6.0,6.0,0.527046276694396,1115,Validação
1,1485,6.0,6.0,0.527046276694396,1114,Validação
1,1486,6.0,6.0,0.527046276694396,1113,Validação
1,1487,6.0,6.0,0.5163977794939888,1112,Validação
1,1488,6.0,6.0,0.5163977794939888,1111,Validação
1,1489,6.0,0.0,0.5163977794939888,1110,Validação
1,1490,6.0,0.0,0.5163977794939888,1109,Validação
1,1491,6.0,0.0,0.48304589153929955,1108,Validação
1,1492,6.0,0.0,0.48304589153929955,1107,Validação
1,1493,6.0,0.0,0.48304589153929955,1106,Validação
1,1494,6.0,0.0,0.48304589153929955,1105,Validação
1,1495,6.0,0.0,0.48304589153929955,1104,Validação
1,1496,6.0,0.0,0.48304589153929955,1103,Validação
1,1497,6.0,0.0,0.48304589153929955,1102,Validação
1,1498,6.0,0.0,0.4216370213553943,1101,Validação
1,1499,6.0,0.0,0.4216370213553943,1100,Validação
1,1500,6.0,0.0,0.3162277660163361,1099,Validação
1,1501,6.0,0.0,0.3162277660163361,1098,Validação
1,1502,6.0,0.0,0.3162277660163361,1097,Validação
1,1503,6.0,0.0,0.3162277660163361,1096,Validação
1,1504,6.0,0.0,0.3162277660163361,1095,Validação
1,1505,6.0,0.0,0.3162277660163361,1094,Validação
1,1506,6.0,0.0,0.3162277660163361,1093,Validação
1,1507,6.0,0.0,0.3162277660163361,1092,Validação
1,1508,6.0,0.0,0.3162277660163361,1091,Validação
1,1509,6.0,0.0,0.0,1090,Validação
1,1510,6.0,0.0,0.0,1089,Validação
1,1511,6.0,0.0,0.0,1088,Validação
1,1512,6.0,0.0,0.3162277660163361,1087,Validação
1,1513,6.0,0.0,0.4216370213553943,1086,Validação
1,1514,6.0,0.0,0.4830458915392941,1085,Validação
