ID_Trem,Ciclo,Grupo,RUL_Alvo,Inclinacao_Mecanica,Vibracao_Max,Vibracao_Kurtosis,Vib_Energia_MaxAcumulado,Vib_Max_MaxAcumulado,Dist_Ref_Suavizada
1,50,Validação,955.0,2.0,184.0,50.00000000000087,1656932.0,184.0,8.0
1,55,Validação,950.0,0.0,182.0,0.0,1656932.0,184.0,8.0
1,60,Validação,945.0,0.0,182.0,0.0,1656932.0,184.0,8.0
1,65,Validação,940.0,0.0,182.0,0.0,1656932.0,184.0,8.0
1,70,Validação,935.0,0.0,182.0,0.0,1656932.0,184.0,8.0
1,75,Validação,930.0,0.0,182.0,0.0,1656932.0,184.0,8.0
1,80,Validação,925.0,0.0,182.0,0.0,1656932.0,184.0,8.0
1,85,Validação,920.0,0.0,182.0,0.0,1656932.0,184.0,8.0
1,90,Validação,915.0,0.0,182.0,0.0,1656932.0,184.0,8.0
1,95,Validação,910.0,0.0,182.0,0.0,1656932.0,184.0,8.0
1,100,Validação,905.0,0.0,182.0,0.0,1656932.0,184.0,8.0
1,105,Validação,900.0,0.0,182.0,0.0,1656932.0,184.0,8.0
1,110,Validação,895.0,0.0,182.0,0.0,1656932.0,184.0,8.0
1,115,Validação,890.0,0.0,182.0,0.0,1656932.0,184.0,8.0
1,120,Validação,885.0,0.0,182.0,0.0,1656932.0,184.0,8.0
1,125,Validação,880.0,0.0,182.0,0.0,1656932.0,184.0,8.0
1,130,Validação,875.0,0.0,182.0,0.0,1656932.0,184.0,8.0
1,135,Validação,870.0,16.0,182.0,50.0000000000001,1656932.0,184.0,9.6
1,140,Validação,865.0,16.0,182.0,3.973746776273395,1656932.0,184.0,11.2
1,145,Validação,860.0,16.0,182.0,-0.0539444216587656,1656932.0,184.0,12.8
1,150,Validação,855.0,16.0,182.0,-1.4163763210605425,1656932.0,184.0,14.4
1,155,Validação,850.0,15.0,182.0,-1.958566354635371,1656932.0,184.0,15.9
1,160,Validação,845.0,15.0,182.0,-2.069751925016281,1656932.0,184.0,17.4
1,165,Validação,840.0,15.0,182.0,-1.810876222323453,1656932.0,184.0,18.9
1,170,Validação,835.0,15.0,182.0,-1.0277666334539948,1656932.0,184.0,20.4
1,175,Validação,830.0,15.0,182.0,0.9498430659588184,1656932.0,184.0,21.9
1,180,Validação,825.0,16.0,182.0,8.245791840215686,1656932.0,184.0,23.5
1,185,Validação,820.0,-1.0,167.0,-1.900487588652503,1656932.0,184.0,23.4
1,190,Validação,815.0,-1.0,167.0,-1.579626047711176,1656932.0,184.0,23.3
1,195,Validação,810.0,0.0,167.0,-1.4253656914893118,1656932.0,184.0,23.2
1,200,Validação,805.0,-1.0,167.0,-1.2411347517731457,1656932.0,184.0,23.1
1,205,Validação,800.0,1.0,167.0,-1.579626047711176,1656932.0,184.0,23.2
1,210,Validação,795.0,0.0,167.0,-1.9686965028123875,1656932.0,184.0,23.3
1,215,Validação,790.0,0.0,167.0,-1.708176344562721,1656932.0,184.0,23.3
1,220,Validação,785.0,0.0,167.0,-1.900487588652503,1656932.0,184.0,23.3
1,225,Validação,780.0,-1.0,167.0,-1.8142903587038768,1656932.0,184.0,23.3
1,230,Validação,775.0,0.0,167.0,-1.579626047711176,1656932.0,184.0,23.2
1,235,Validação,770.0,-1.0,167.0,-1.579626047711176,1656932.0,184.0,23.2
1,240,Validação,765.0,0.0,167.0,-1.241134751773146,1656932.0,184.0,23.2
1,245,Validação,760.0,14.0,167.0,5.637601203042811,1656932.0,184.0,24.7
1,250,Validação,755.0,15.0,167.0,0.3827765455248917,1656932.0,184.0,26.2
1,255,Validação,750.0,14.0,167.0,-1.2442939461741112,1656932.0,184.0,27.6
1,260,Validação,745.0,15.0,167.0,-1.8990073218055967,1656932.0,184.0,29.0
1,265,Validação,740.0,15.0,167.0,-2.081306890326338,1656932.0,184.0,30.5
1,270,Validação,735.0,15.0,167.0,-1.8981036244385847,1656932.0,184.0,32.0
1,275,Validação,730.0,15.0,167.0,-1.2368469113518932,1656932.0,184.0,33.5
1,280,Validação,725.0,14.0,167.0,0.4164688721568028,1656932.0,184.0,35.0
1,285,Validação,720.0,15.0,167.0,5.791962174940899,1656932.0,184.0,36.5
1,290,Validação,715.0,0.0,152.0,0.0,1656932.0,184.0,38.0
1,295,Validação,710.0,0.0,152.0,0.0,1656932.0,184.0,38.0
1,300,Validação,705.0,0.0,152.0,0.0,1656932.0,184.0,38.0
1,305,Validação,700.0,0.0,152.0,0.0,1656932.0,184.0,38.0
1,310,Validação,695.0,0.0,152.0,0.0,1656932.0,184.0,38.0
1,315,Validação,690.0,0.0,152.0,0.0,1656932.0,184.0,38.0
1,320,Validação,685.0,0.0,152.0,0.0,1656932.0,184.0,38.0
1,325,Validação,680.0,6.0,152.0,22.330729166666515,1656932.0,184.0,38.6
1,330,Validação,675.0,6.0,152.0,2.6843146956951847,1656932.0,184.0,39.2
1,335,Validação,670.0,6.0,152.0,-0.4429707913400476,1656932.0,184.0,39.8
1,340,Validação,665.0,6.0,152.0,-1.5796260477111457,1656932.0,184.0,40.4
1,345,Validação,660.0,6.0,152.0,-2.020369922630556,1656932.0,184.0,41.0
1,350,Validação,655.0,6.0,152.0,-2.056566279507998,1656932.0,184.0,41.6
1,355,Validação,650.0,6.0,152.0,-1.7081763445626443,1656932.0,184.0,42.2
