ID_Trem,Ciclo,Grupo,RUL_Alvo,Distancia_Ref_Atual,Inclinacao_Mecanica,Vibracao_Max,Vibracao_Kurtosis,Vibracao_Energia,MA5_Vibracao_Max,MA5_Vibracao_Energia,MA5_Vibracao_Std,Delta_Vibracao_Std,Acel_Vibracao_Std
1,50,Validação,955.0,8.0,2.0,184.0,50.00000000000087,1656932.0,184.0,1656932.0,0.282842712474619,0.0,0.0
1,55,Validação,950.0,8.0,0.0,182.0,0.0,1656200.0,183.0,1656566.0,0.1414213562373095,0.0,0.0
1,60,Validação,945.0,8.0,0.0,182.0,0.0,1656200.0,182.66666666666666,1656444.0,0.09428090415820634,0.0,0.0
1,65,Validação,940.0,8.0,0.0,182.0,0.0,1656200.0,182.5,1656383.0,0.07071067811865475,-0.282842712474619,-0.282842712474619
1,70,Validação,935.0,8.0,0.0,182.0,0.0,1656200.0,182.4,1656346.4,0.0565685424949238,0.0,0.0
1,75,Validação,930.0,8.0,0.0,182.0,0.0,1656200.0,182.0,1656200.0,0.0,0.0,0.0
1,80,Validação,925.0,8.0,0.0,182.0,0.0,1656200.0,182.0,1656200.0,0.0,0.0,0.282842712474619
1,85,Validação,920.0,8.0,0.0,182.0,0.0,1656200.0,182.0,1656200.0,0.0,0.0,0.0
1,90,Validação,915.0,8.0,0.0,182.0,0.0,1656200.0,182.0,1656200.0,0.0,0.0,0.0
1,95,Validação,910.0,8.0,0.0,182.0,0.0,1656200.0,182.0,1656200.0,0.0,0.0,0.0
1,100,Validação,905.0,8.0,0.0,182.0,0.0,1656200.0,182.0,1656200.0,0.0,0.0,0.0
1,105,Validação,900.0,8.0,0.0,182.0,0.0,1656200.0,182.0,1656200.0,0.0,0.0,0.0
1,110,Validação,895.0,8.0,0.0,182.0,0.0,1656200.0,182.0,1656200.0,0.0,0.0,0.0
1,115,Validação,890.0,8.0,0.0,182.0,0.0,1656200.0,182.0,1656200.0,0.0,0.0,0.0
1,120,Validação,885.0,8.0,0.0,182.0,0.0,1656200.0,182.0,1656200.0,0.0,0.0,0.0
1,125,Validação,880.0,8.0,0.0,182.0,0.0,1656200.0,182.0,1656200.0,0.0,0.0,0.0
1,130,Validação,875.0,8.0,0.0,182.0,0.0,1656200.0,182.0,1656200.0,0.0,0.0,0.0
1,135,Validação,870.0,24.0,16.0,182.0,50.0000000000001,1650632.0,182.0,1655086.4,0.4525483399593904,2.262741699796952,2.262741699796952
1,140,Validação,865.0,24.0,16.0,182.0,3.973746776273395,1622792.0,182.0,1648404.8,1.5029826524692014,5.252171562549055,5.252171562549055
1,145,Validação,860.0,24.0,16.0,182.0,-0.0539444216587656,1595285.0,182.0,1636221.8,2.834699359488792,6.658583535097953,6.658583535097953
1,150,Validação,855.0,24.0,16.0,182.0,-1.4163763210605425,1568111.0,182.0,1618604.0,4.325575009595679,5.191636550737481,2.9288948509405293
1,155,Validação,850.0,23.0,15.0,182.0,-1.958566354635371,1541603.0,182.0,1595684.6,5.888977891590135,2.5648428474232245,-2.6873287151258305
1,160,Validação,845.0,23.0,15.0,182.0,-2.069751925016281,1515428.0,182.0,1568643.8,7.006475696799472,1.1916471907456918,-5.466936344352261
1,165,Validação,840.0,23.0,15.0,182.0,-1.8108762223234531,1488254.0,182.0,1541736.2,7.482814692509936,0.17948829056693505,-5.012148260170546
1,170,Validação,835.0,23.0,15.0,182.0,-1.0277666334539948,1462079.0,182.0,1515095.0,7.55721291097598,-0.7864397825441074,-3.351282629967332
1,175,Validação,830.0,23.0,15.0,182.0,0.9498430659588184,1435571.0,182.0,1488587.0,7.268111459497852,-1.8413597326998499,-3.0330069234455417
1,180,Validação,825.0,24.0,16.0,182.0,8.245791840215686,1408730.0,182.0,1462012.4,6.556117973260615,-3.3768195623152755,-3.5563078528822105
1,185,Validação,820.0,23.0,-1.0,167.0,-1.900487588652503,1387790.0,179.0,1436484.8,5.085046159952965,-6.535702968122779,-5.7492631855786716
1,190,Validação,815.0,23.0,-1.0,167.0,-1.579626047711176,1388789.0,176.0,1416591.8,3.653976475872372,-5.5303528724453885,-3.6889931397455387
